episodio,recompensa_total
1,20.3
2,20.900000000000002
3,20.700000000000003
4,-8.80000000000001
5,20.200000000000003
6,20.8
7,20.3
8,21.1
9,20.700000000000003
10,20.5
11,20.8
12,20.3
13,21.200000000000003
14,20.700000000000003
15,20.1
16,20.3
17,20.3
18,20.400000000000002
19,20.6
20,20.200000000000003
21,21.0
22,21.0
23,21.0
24,20.6
25,-510.0000000000009
26,20.6
27,21.3
28,21.0
29,20.5
30,20.900000000000002
31,20.400000000000002
32,21.3
33,-8.800000000000011
34,20.0
35,-10.000000000000016
36,-510.0000000000009
37,-10.000000000000016
38,20.8
39,20.200000000000003
40,20.1
41,21.1
42,20.5
43,20.900000000000002
44,20.5
45,-8.000000000000007
46,20.400000000000002
47,21.6
48,20.3
49,20.3
50,20.400000000000002
51,-8.80000000000001
