episodio,recompensa_total
1,-10.000000000000016
2,-9.200000000000012
3,-10.400000000000018
4,-10.000000000000016
5,-9.600000000000014
6,-9.200000000000012
7,-9.600000000000014
8,-510.0000000000009
9,-9.600000000000014
10,-8.40000000000001
11,-9.600000000000014
12,-9.600000000000014
13,-10.400000000000018
14,-8.40000000000001
15,-10.000000000000016
16,-9.200000000000012
17,-10.400000000000018
18,-9.600000000000014
19,-8.400000000000007
20,-10.000000000000016
21,-9.200000000000012
22,-10.000000000000016
23,-9.200000000000012
24,-8.400000000000007
25,-10.400000000000018
26,-8.80000000000001
27,-10.400000000000018
28,-10.400000000000018
29,-9.600000000000014
30,-10.000000000000016
31,-9.200000000000012
32,-9.200000000000012
33,-10.000000000000016
34,-8.800000000000011
35,-10.400000000000018
36,-10.80000000000002
37,-10.400000000000018
38,-10.000000000000016
39,-9.200000000000012
40,-10.80000000000002
41,-10.400000000000018
42,-10.000000000000016
43,-10.400000000000018
44,-494.40000000000083
45,-10.000000000000016
46,-10.400000000000018
47,-10.000000000000016
48,-8.000000000000005
49,-9.600000000000014
50,-10.000000000000016
51,-10.800000000000022
